id,isValid,raingage,SID,date,validRaingege
135,1,4.881870747,6000,7/1/17 4:41,4.881870747
136,1,4.92124033,6000,7/1/17 4:55,4.92124033
137,1,4.96061039,6000,7/1/17 5:14,4.96061039
138,1,4.99998045,6000,7/1/17 5:29,4.99998045
139,1,4.99998045,6000,7/1/17 5:48,4.99998045
140,1,5.039350033,6000,7/1/17 5:52,5.039350033
141,1,5.039350033,6000,7/1/17 17:46,5.039350033
142,1,5.039350033,6000,7/2/17 5:44,5.039350033
143,1,5.039350033,6000,7/2/17 17:42,5.039350033
144,1,5.039350033,6000,7/3/17 5:40,5.039350033
145,1,5.039350033,6000,7/3/17 17:38,5.039350033
146,1,5.078720093,6000,7/3/17 21:41,5.078720093
147,1,5.118090153,6000,7/3/17 21:43,5.118090153
148,1,5.157460213,6000,7/3/17 21:44,5.157460213
149,1,5.196829796,6000,7/3/17 21:46,5.196829796
150,1,5.236199856,6000,7/3/17 21:51,5.236199856
151,1,5.275569916,6000,7/3/17 21:57,5.275569916
152,1,5.314939499,6000,7/3/17 22:04,5.314939499
153,1,5.354309559,6000,7/3/17 22:09,5.354309559
154,1,5.433049679,6000,7/3/17 22:38,5.433049679
155,1,5.472419262,6000,7/3/17 23:19,5.472419262
156,1,5.511789322,6000,7/3/17 23:42,5.511789322
157,0,79.29102325,6000,7/4/17 5:33,0
158,1,5.511789322,6000,7/4/17 5:36,5.511789322
159,1,5.511789322,6000,7/4/17 17:34,5.511789322
160,1,5.511789322,6000,7/5/17 5:32,5.511789322
161,1,5.551159382,6000,7/5/17 14:04,5.551159382
162,1,5.590528965,6000,7/5/17 14:21,5.590528965
163,1,5.629899025,6000,7/5/17 16:30,5.629899025
164,1,5.629899025,6000,7/5/17 17:30,5.629899025
165,0,40.11795044,6000,7/5/17 19:43,0
166,1,5.669269085,6000,7/5/17 19:47,5.669269085
167,1,5.708639145,6000,7/5/17 20:02,5.708639145
168,1,5.748008728,6000,7/5/17 20:22,5.748008728
169,1,5.787378788,6000,7/5/17 21:37,5.787378788
170,1,5.787378788,6000,7/6/17 5:28,5.787378788
171,0,71.49578094,6000,7/6/17 16:46,0
172,1,5.787378788,6000,7/6/17 17:26,5.787378788
173,1,5.787378788,6000,7/7/17 5:24,5.787378788
174,1,5.826748848,6000,7/7/17 8:39,5.826748848
175,1,5.866118431,6000,7/7/17 8:45,5.866118431
176,1,5.905488491,6000,7/7/17 9:00,5.905488491
177,1,5.905488491,6000,7/7/17 17:22,5.905488491
178,1,5.905488491,6000,7/8/17 5:20,5.905488491
179,0,69.96035767,6000,7/8/17 15:05,0
180,1,5.905488491,6000,7/8/17 17:18,5.905488491
181,1,5.905488491,6000,7/9/17 5:16,5.905488491
182,1,5.905488491,6000,7/9/17 17:14,5.905488491
183,1,5.905488491,6000,7/10/17 5:12,5.905488491
184,1,5.905488491,6000,7/10/17 17:10,5.905488491
185,0,34.01561356,6000,7/10/17 22:19,0
186,1,5.905488491,6000,7/11/17 5:08,5.905488491
187,1,5.905488491,6000,7/11/17 17:05,5.905488491
188,1,5.905488491,6000,7/12/17 5:03,5.905488491
189,1,5.905488491,6000,7/12/17 17:01,5.905488491
190,1,5.905488491,6000,7/13/17 4:59,5.905488491
191,1,5.905488491,6000,7/13/17 16:57,5.905488491
192,1,5.905488491,6000,7/14/17 4:55,5.905488491
193,1,5.905488491,6000,7/14/17 16:53,5.905488491
194,1,5.905488491,6000,7/15/17 4:51,5.905488491
195,0,41.02346039,6000,7/15/17 13:07,0
196,1,5.905488491,6000,7/15/17 16:49,5.905488491
197,1,5.905488491,6000,7/16/17 4:47,5.905488491
198,1,5.905488491,6000,7/16/17 16:45,5.905488491
199,1,5.905488491,6000,7/17/17 4:43,5.905488491
200,1,0.314959377,6000,6/23/17 6:21,0.314959377
201,1,0.314959377,6000,6/23/17 18:19,0.314959377
202,1,0.354329318,6000,6/23/17 20:00,0.354329318
203,1,0.393699229,6000,6/23/17 20:02,0.393699229
204,1,0.43306917,6000,6/23/17 20:04,0.43306917
